N°,Fecha,Producto,Valor,Unidad,Venta ,Tipo de venta,Forma de Pago,Estado,Mes,dia de la semana,,
1,08/01/26,Calathea Trio Star,,1,$7.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
2,08/01/26,Begonia Alas de Ángel,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
3,08/01/26,Hierba Ruda,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
4,08/01/26,Suculenta XS,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
5,08/01/26,Hierba Orégano,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
6,08/01/26,Suculenta S,,1,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
7,09/01/26,Hierba Menta,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,vie,,
8,10/01/26,Hierba Orégano,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,sáb,,
9,10/01/26,Macetero Cerámica Blanca M,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,sáb,,
10,10/01/26,Suculenta M,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,sáb,,
11,10/01/26,Macetero Cerámica generico M,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,sáb,,
12,10/01/26,Cordatum lemon,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,sáb,,
13,10/01/26,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,sáb,,
14,10/01/26,Tradescantia S,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,sáb,,
15,10/01/26,Dólar Verde S,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,sáb,,
16,10/01/26,Tutor 60 cm,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,sáb,,
17,10/01/26,Sustrato,,5,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,sáb,,
18,10/01/26,Tierra 20L,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,sáb,,
19,11/01/26,Tradescantia L,,1,$6.500,Ventas presencial,Efectivo,Si,enero,dom,,
20,12/01/26,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,lun,,
21,12/01/26,Begonia Alas de Ángel,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,lun,,
22,12/01/26,Chefflera,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,lun,,
23,14/01/26,Suculenta M/L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,mié,,
24,14/01/26,Suculenta M/L,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,mié,,
25,14/01/26,Suculenta XS,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,mié,,
26,14/01/26,Suculenta M,,2,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,mié,,
27,14/01/26,Hypoeste M,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,mié,,
28,14/01/26,Peperomia Pepperspot S,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,mié,,
29,14/01/26,Gomero Indio,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,mié,,
30,14/01/26,Iresine Morado,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,mié,,
31,14/01/26,Sustrato,,3,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,mié,,
32,14/01/26,Helecho Crype Wave,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,mié,,
33,15/01/26,Tradescantia Nanouk S,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
34,15/01/26,Suculenta M,,2,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
35,15/01/26,Hierba Menta,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
36,15/01/26,Hierba Romero S,,1,$1.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
37,15/01/26,Sustrato,,6,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
38,15/01/26,Calathea Freddie,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
39,15/01/26,Macetero Cerámica generico S,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,jue,,
40,16/01/26,Hierba Romero S,,2,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,vie,,
41,16/01/26,Sustrato,,3,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,vie,,
42,16/01/26,Macetero M8,,1,$300,Ventas presencial,Tarjeta cuenta vista,Si,enero,vie,,
43,16/01/26,Macetero M10,,1,$500,Ventas presencial,Tarjeta cuenta vista,Si,enero,vie,,
44,16/01/26,Guano,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,vie,,
45,16/01/26,Macetero M30,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,vie,,
46,16/01/26,Plato M28,,1,$2.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,vie,,
47,16/01/26,Sustrato,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,vie,,
48,18/01/2026,Jardinera con plato,,1,$3.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
49,18/01/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
50,18/01/2026,Sustrato,,"1,5",$1.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
51,18/01/2026,Tradescantia Zebrina L,,1,$6.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
52,18/01/2026,Sustrato,,2,$2.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
53,18/01/2026,Monstera Deliciosa M,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
54,18/01/2026,Aphelandra,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
55,18/01/2026,Filodendro Silver Sword,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
56,18/01/2026,Filodendro White Knight,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
57,18/01/2026,Filodendro Paraguayo m,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
58,18/01/2026,Tradescantia Zebrina Burgundy L,,1,$6.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
59,18/01/2026,Sustrato,,5,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
60,18/01/2026,Arbusto S,,1,$5.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
61,18/01/2026,Sustrato,,4,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
62,18/01/2026,Cucharita L,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
63,18/01/2026,Dólar Negro M,,1,$4.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
64,18/01/2026,Macetero M8,,1,$300,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
65,18/01/2026,Tutor musgo 60 cm,,1,$8.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
66,18/01/2026,Gomero Indio,,1,$5.500,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
67,18/01/2026,Sustrato,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
68,18/01/2026,Fibra de coco,,1,$1.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,dom,,
69,19/01/2026,Cucharita M,,1,$6.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,lun,,
70,19/01/2026,Ceropegia variegada,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,lun,,
71,19/01/2026,Macetero Cerámica generico S,,1,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,lun,,
72,19/01/2026,Sustrato,,3,$3.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,lun,,
73,21/01/2026,Euphorbia delgada L,,1,$25.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,mié,,
74,19/01/2026,Promo Suculentas,,1,$10.000,Ventas presencial,Tarjeta cuenta vista,Si,enero,lun,,
